Name,                               English,                                     Translation,                                   Restrictions, Comment
GadgetToolbox_CheckBox,Checkbox,Checkbox,,Gadget toolbox display name for checkbox
GadgetToolbox_CloseButton,Close Button,Close Button,,Gadget toolbox display name for a close button
GadgetToolbox_Colour,Colour,Color,,Gadget toolbox display name for colour group
GadgetToolbox_ColourDialog,Colour Dialog,Colour Dialog,,Gadget toolbox display name for colour dialog
GadgetToolbox_ColourPalette,Colour Palette,Colour Palette,,Gadget toolbox display name for colour palette
GadgetToolbox_ColourPicker,Colour Picker,Colour Picker,,Gadget toolbox display name for colour picker
GadgetToolbox_ColourSelectButton,Colour Select Button,Colour Select Button,,Gadget toolbox heading for colour select button
GadgetToolbox_ComboBox,Combobox,Combobox,,Gadget toolbox display name for combobox
GadgetToolbox_Containers,Containers,Containers,,Gadget toolbox display name for container group
GadgetToolbox_DefaultBorderedWindow,Bordered Window,Bordered Window,,Gadget toolbox display name for a bordered window
GadgetToolbox_DefaultBorderlessWindow,Borderless Window,Borderless Window,,Gadget toolbox display name for a borderless window
GadgetToolbox_DefaultBlendWindow,Blend Window,Blend Window,,Gadget toolbox display name for a blend window
GadgetToolbox_FileInput,File Input,File Input,,gadget toolbox heading for the file input gadget
GadgetToolbox_Grid,Grid,Grid,,Gadget toolbox display name for grid
GadgetToolbox_Group,Group,Group,,Gadget toolbox display name for group
GadgetToolbox_HorizontalScrollbar,Horizontal Scrollbar,Horizontal Scrollbar,,Gadget toolbox display name for vertical scrollbar
GadgetToolbox_HorizontalSeparator,Horizontal Separator,Horizontal Separator,,Gadget toolbox display name for horizontal separator
GadgetToolbox_Image,Image,Image,,Gadget toolbox display name for image
GadgetToolbox_Input,Input,Input,,Gadget toolbox display name for input
GadgetToolbox_Label,Label,Label,,Gadget toolbox display name for label
GadgetToolbox_LinkLabel,Link Label,Link Label,,Gadget toolbox display name for link label
GadgetToolbox_ListBox,Listbox,Listbox,,Gadget toolbox display name for listbox
GadgetToolbox_HeaderedListBox,Headered Listbox,Headered Listbox,,Gadget toolbox display name for headered listbox
GadgetToolbox_Lists,Lists,Lists,,Gadget toolbox display name for lists group
GadgetToolbox_MenuBar,Menu Bar,Menu Bar,,Gadget toolbox display name for menu bar
GadgetToolBox_Misc,Miscellaneous,Miscellaneous,,Gadget toolbox display name for miscellaneous group
GadgetToolbox_MultiLineTextBox,Multiline Text Box,Multiline Text Box,,A multiline text input box
GadgetToolbox_NumericTextBox,Numeric Textbox,Numeric Textbox,,Gadget toolbox display name for numeric textbox
GadgetToolbox_PanArea,Pan Area,Pan Area,,Gadget toolbox pan area class name
GadgetToolbox_RadioButton,Radio Button,Radio Button,,Gadget toolbox display name for radio button
GadgetToolbox_RadioButtons,Radio Buttons,Radio Buttons,,Gadget toolbox display name for radio buttons group
GadgetToolbox_RadioGroup,Radio Button Group,Radio Button Group,,Gadget toolbox display name for radio button group
GadgetToolbox_Scrollbars,Scrollbars,Scrollbars,,Gadget toolbox display name for scrollbars
GadgetToolbox_ScrollPanel,Scroll Panel,Scroll Panel,,Gadget toolbox display name for scroll panel
GadgetToolbox_Separators,Separators,Separators,,Gadget toolbox display name for separators
GadgetToolbox_Slider,Slider,Slider,,Gadget toolbox display name for slider
GadgetToolbox_ThumbnailSlider,Thumbnail Slider,Thumbnail Slider,,Gadget toolbox display name for thumbnail slider
GadgetToolbox_StackPanel,Stack Panel,Stack Panel,,Gadget toolbox display name for stack panel
GadgetToolbox_TabControl,Tab Control Panel,Tab Control Panel,,Gadget toolbox display name for tab control
GadgetToolbox_TextBox,Textbox,Textbox,,Gadget toolbox display name for textbox
GadgetToolbox_TextInput,Text Input,Text Input,,Gadget toolbox display name for  text input group
GadgetToolbox_TitleBar,Title Bar,Title Bar,,Gadget toolbox display name for title bar
GadgetToolbox_ToggleButton,Toggle Button,Toggle Button,,Gadget toolbox display name for a toggle button
GadgetToolbox_TreeView,Tree View,Tree View,,Gadget toolbox display name for tree view
GadgetToolbox_VerticalScrollbar,Vertical Scrollbar,Vertical Scrollbar,,Gadget toolbox display name for horizontal scrollbar
GadgetToolbox_VerticalSeparator,Vertical Separator,Vertical Separator,,Gadget toolbox display name for vertical separator
GadgetToolbox_Window,Window,Window,,Gadget toolbox display name for window
GadgetToolbox_WindowFrame,Window Frame,Window Frame,,Gadget toolbox display name for window frame
GadgetToolBox_Windowing,Windowing,Windowing,,Gadget toolbox display name for windowing group
GadgetToolbox_TextEditorPanel,Text Editor Panel,Text Editor Panel,,Gadget toolbox display for the text editor panel
GadgetToolbox_ResourceButton,Resource Select Button,Resource Select Button,,Gadget toolbox display for the resource button
GadgetToolbox_ResourceDropPanel,Resource Drop Panel,Resource Drop Panel,,Gadget toolbox display for the resource drop panel
GadgetToolbox_ResourceImage,Resource Image,Resource Image,,Gadget toolbox display for the resource image icon
GadgetToolbox_ResourceSpriteIcon,Sprite Icon,Sprite Icon,,Gadget toolbox display for the sprite icon
GadgetToolbox_ResourceObjectIcon,Object Icon,Object Icon,,Gadget toolbox display for the object icon
GadgetToolbox_ResourceTileSetIcon,Tile Set Icon,Tile Set Icon,,Gadget toolbox display for the tileset icon
GadgetToolbox_SpriteSelector,Sprite Selector,Sprite Selector,,Gadget toolbox display for the sprite selector
GadgetToolbox_Resources,Resources,Resources,,Gadget toolbox heading for the resources group
Game_Options,Game Options - {0},Opciones de juego - {0},,Takes platform argument to show type of Game Options being displayed
Gamemaker_Help,Help,Ayuda,,Help window title
Gamemaker_News,News,Noticias,,News window title
Gmez_NoProject,Gmez Import: No project to import into,Gmez Import: No project to import into,,Error when importing without a project loaded
GraphicProperties_AnimSpeed,Speed:,Speed:,,The animation speed for graphics
GraphicProperties_FrameIndex,Frame:,Frame:,,The initial frame for the sprite
GraphicProperties_Height,Height:,Height:,,graphic properties caption for height textbox
GraphicProperties_PosX,X:,X:,,graphic properties caption for x textbox
GraphicProperties_PosY,Y:,Y:,,graphic properties caption for y textbox
GraphicProperties_u0,U0:,U0:,,graphic properties caption for u0 textbox
GraphicProperties_u1,U1:,U1:,,graphic properties caption for u1 textbox
GraphicProperties_v0,V0:,V0:,,graphic properties caption for v0 textbox
GraphicProperties_v1,V1:,V1:,,graphic properties caption for v1 textbox
GraphicProperties_Width,Width:,Width:,,graphic properties caption for width textbox
Grid_InsertColumnAfter,Insert Column After,Insert Column After,,Context menu option to insert a new column after the selected column
Grid_InsertColumnBefore,Insert Column Before,Insert Column Before,,Context menu option to insert a new column before the selected column
Grid_InsertColumnSplitterAfter,Insert Grid Column Splitter After,Insert Grid Column Splitter After,,Context menu option to insert a new column splitter after the selected column
Grid_InsertColumnSplitterBefore,Insert Grid Column Splitter Before,Insert Grid Column Splitter Before,,Context menu option to insert a new column splitter before the selected column
Grid_InsertColumnDockSplitterAfter,Insert Grid Column Dock Splitter After,Insert Grid Column Dock Splitter After,,Context menu option to insert a new column dock splitter after the selected column
Grid_InsertColumnDockSplitterBefore,Insert Grid Column Dock Splitter Before,Insert Grid Column Dock Splitter Before,,Context menu option to insert a new column dock splitter before the selected column
Grid_InsertRowAfter,Insert Row After,Insert Row After,,Context menu option to insert a new row after the selected row
Grid_InsertRowBefore,Insert Row Before,Insert Row Before,,Context menu option to insert a new row before the selected row
Grid_InsertRowSplitterAfter,Insert Grid Row Splitter After,Insert Grid Row Splitter After,,Context menu option to insert a new row splitter after the selected row
Grid_InsertRowSplitterBefore,Insert Grid Row Splitter Before,Insert Grid Row Splitter Before,,Context menu option to insert a new row splitter before the selected row
Grid_InsertRowDockSplitterAfter,Insert Grid Row Dock Splitter After,Insert Grid Row Dock Splitter After,,Context menu option to insert a new row dock splitter after the selected row
Grid_InsertRowDockSplitterBefore,Insert Grid Row Dock Splitter Before,Insert Grid Row Dock Splitter Before,,Context menu option to insert a new row dock splitter before the selected row
Grid_MoveColumnLeft,Move Column Left,Move Column Left,,Context menu option to move column left
Grid_MoveColumnRight,Move Column Right,Move Column Right,,Context menu option to move column right
Grid_MoveRowDown,Move Row Down,Move Row Down,,Context menu option to move row down
Grid_MoveRowUp,Move Row Up,Move Row Up,,Context menu option to move row up
Grid_MoveToSpanColumns,Span All Columns,Span All Columns,,Context menu option to make a gadget span all the columns
Grid_MoveToSpanGrid,Span Entire Grid,Span Entire Grid,,Context menu option to make a gadget span the entire grid it currently inhabits
Grid_MoveToSpanRows,Span All Rows,Span All Rows,,Context menu option to make a gadget span all the rows
Grid_RemoveColumn,Remove Column(s),Remove Column(s),,Context menu option to remove a column or columns
Grid_RemoveRow,Remove Row(s),Remove Row(s),,Context menu option to remove a row or rows
History_Title,History,Historia,,History window title
IDEMenu_Account,Account,Cuenta,,"IDE menu ""Account"""
IDEMenu_Build,Build,Crear,,"File menu ""Build"""
IDEMenu_Edit,Edit,Editar,,The Edit menu item name
IDEMenu_File,File,Archivo,,The File menu item name
IDEMenu_Views,Windows,Ventanas,,Main menu entry for views
IDEMenu_Tools,Tools,Herramientas,,Main menu entry for tools
IDEMenu_Help,Help,Ayuda,,Main menu entry for HELP
IDEMenu_Help_SupportForum,Support Forums,Foros de soporte,,Help menu item for support forums
IDEMenu_Help_YYG,YoYoGames.com,YoYoGames.com,,Help menu item for main yoyogames website
IDEMenu_Help_GMC,GameMaker Community,Comunidad de GameMaker,,Help menu item for gmc forums
IDEMenu_Help_BetaForums,Mac Closed beta forums,Mac Closed beta forums,,Closed beta forums for Mac
IDEMenu_Help_SDKS,Required SDKs,SDKs requeridos,,Help menu item for the required sdks page
IDEMenu_Help_KnowledgeBase,Knowledge Base,Base de conocimientos,,Help menu item for knowledge base
IDEMenu_Help_ReportBug,Report a Bug,Reportar un error,,Help menu item for report a bug page
IDEMenu_Help_ReleaseNotes,Release Notes,Notas de la versión,,Help menu item for release notes
IDEMenu_Help_RuntimeReleaseNotes,Current Runtime Release Notes,Notas actuales de tiempo de ejecución de la versión,,Help menu item for current runtime release notes
IDEMenu_Help_StartPage,Start Page,Página de inicio,,Help menu item for reopening the start page
IDEMenu_Help_WelcomePage,Welcome Page,Página de bienvenida,,Help menu item for reopening the welcome page
IDEMenu_Help_Help,Open Manual,Abrir manual,,Help menu item for actual help
IDEMenu_Help_About,About,Acerca de,,Help menu item for actual About
IDEMenu_Help_Licenses,Licenses,Licencias,,Help menu item for licenses
IDEMenu_Help_OpenInExplorer,Open Project In Explorer,${OpenProjectInExplorer},,Help menu item for opening the explorer window at the current project's location
IDEMenu_Help_LogFile,Show Log File In Explorer,${ShowLogFileInExplorer},,Help menu item for taking the user to the log file location
IDEMenu_Marketplace,Marketplace,Mercado,,Main menu entry for marketplace
IDEMenu_Texturepage,Texture groups,Grupos de texturas,,Texture group manager
IDEMenu_Audiogroups,Audio Groups,Grupos de audio,,Audio group manager
IDEMenu_SoundMixer,Sound Mixer,Mezclador de sonidos,,Open Sound Mixer
IDEMenu_Layouts,Layouts,Diseños,,Layouts
IDEMenu_LoadLayout,Load Layout,Cargar diseño,,Main menu entry for load layouts
IDEMenu_SaveLayout,Save Layout,Guardar diseño,,Main menu entry for save layouts
IDEMenu_ResetLayout,Reset Layout,Restablecer diseño,,Main menu entry for resetting the layout
IDETooltip_StartPage,Start Page,Página de Inicio,,IDE toolbar tooltip for the home button
IDETooltip_NewProject,New Project (${show_new_projects_page}),Nuevo proyecto (${show_new_projects_page}),,IDE toolbar tooltip
IDETooltip_OpenProject,Open Project (${load_project_dialog}),Abrir projecto (${load_project_dialog}),,IDE toolbar tooltip
IDETooltip_Save,Save Project (${menu_save_project_incremental}),Guardar proyecto (${menu_save_project_incremental}),,IDE toolbar tooltip
IDETooltip_Package,Create Executable (${package_program}),Crear ejecutable (${package_program}),,IDE toolbar tooltip
IDETooltip_Debug,Debug (F6),Depurar (F6),,IDE toolbar tooltip
IDETooltip_Run,Run (F5),Ejecutar (F5),,IDE toolbar tooltip
IDETooltip_Stop,Stop,Detener,,IDE toolbar tooltip
IDETooltip_Clean,Clean (${clean_program}),Limpiar (${clean_program}),,IDE toolbar tooltip
IDETooltip_GameSettings,Game Options,Opciones de juego,,IDE toolbar tooltip
IDETooltip_Help,Help (F1),Ayuda (F1),,IDE toolbar tooltip
IDETooltip_Targets,Targets,Objetivos,,IDE toolbar tooltip
IDETooltip_Notifications,Notifications,Notificationes,,IDE toolbar notifications tooltip
IDETooltop_WorkspaceZoomIn,Zoom In (${zoom_in_workspace}),Acercar (${zoom_in_workspace}),,workspace zoom in ide toolbar tooltip
IDETooltop_WorkspaceZoomOut,Zoom Out (${zoom_out_workspace}),Alejar (${zoom_out_workspace}),,workspace zoom out ide toolbar tooltip
IDETooltop_WorkspaceZoomReset,Zoom Reset (${reset_workspace_zoom}),Reiniciar Zoom (${reset_workspace_zoom}),,workspace zoom reset ide toolbar tooltip
IDETooltop_CollapseDocks,Collapse/Expand dock panels (F12),Colapsar/Expandir paneles de muelle (F12),,collapse/expand docks tooltip
ImageEditor_AddFrame,Add Frame,Añadir fotograma,,Image editor menu option -Add frame
ImageEditor_AddFromFile,Import Image(s),Importar Imagen(es),,Add images from file menu option
ImageEditor_CreateFromStrip,Convert to Frames,Convertir a fotogramas,,create from strip menu option
ImageEditor_ImportFromStrip,Import Strip Image,Importar tira de imagen,,import strip image menu option
ImageEditor_ExportToPNG,Export to PNG,Exportar a PNG,,export to png image menu option
ImageEditor_AddGroup,Add group,Añadir group,,Image editor layer context menu - add group
ImageEditor_AddLayer,Add layer,Añadir capa,,Image editor layer context menu - add layer
ImageEditor_AllLayers,All Layers,All Layers,,effect all layers option
ImageEditor_Arc_Iterations,Iterations:,Iteraciones:,,Iterations slider label for Arc Tool
ImageEditor_BrushPanelTitle,Brushes,Pinceles,,brushes panel title
ImageEditor_CancelSelection,Cancel Selection,Cancelar Selección,,Image editor menu option -Cancel selection
ImageEditor_NewCanvasSize,New Canvas Size:,Nuevo tamaño del lienzo:,,image editor new canvas size
ImageEditor_CentreFit,Fit Screen,Adjustar pantalla,,"Image editor view menu - centre, scale to fit"
ImageEditor_CentreUnitScale,1:01,1:01,,Image editor view menu - centre unit scale
ImageEditor_ColourLeftLabel,Left:,Izquierda:,,left brush label
ImageEditor_ColourOnly,Colour only,Sólo color,,Image editor magic wand colour only checkbox
ImageEditor_ColourPanelTitle,Colours,Colores,,colours panel title
ImageEditor_UnableToLoadFrame,Unable to load,Unable to load,,Unable to load frame dialog title
ImageEditor_InvalidSpriteFrame,Sprite {0} contains {1} image(s) that failed to load. Affected frames have been removed from the sprite.,Sprite {0} contains {1} image(s) that failed to load. Affected frames have been removed from the sprite.,,Failed to load image
IE_ColourPanel_MenuToolTip,Colour Options,Opciones de color,,image editor colours panel menu button tooltip
ImageEditor_ColourRightLabel,Right:,Derecha:,,right brush label
ImageEditor_CommitToolChanges,Commit Tool Changes?,¿Validar cambios de herramienta?,,Commit tool changes
ImageEditor_CropToSelection,Crop All Frames To Selection,Recortar todos los fotogramas a selección,,Image editor - crop to selection menu option
ImageEditor_AutoTrim,Auto Trim All Frames,Recortar automaticamente todos los fotogramas,,Image editor - auto trim all frames
ImageEditor_ReverseFrames,Reverse Frames,Invertir fotogramas,,Image Editor - reverse frames menu entry
ImageEditor_Cut,Cut,Cortar,,Image editor menu option -Cut
ImageEditor_CutFrame,Cut Frame,Cortar fotograma,,Image editor menu option -Cut
ImageEditor_CutSelection,Cut Selection,Cortar selección,,Image editor menu option -Cut
ImageEditor_Copy,Copy,Copiar,,Image editor menu option -Copy
ImageEditor_CopyFrame,Copy Frame,Copiar fotograma,,Image editor copy frame menu option
ImageEditor_PasteFrame,Paste Frame,Peguar fotograma,,Image editor paste frame menu option
ImageEditor_CopySelection,Copy Selection,Copiar selección,,Image editor copy selection menu option
ImageEditor_PasteClipboard,Paste Clipboard,Pegar portapapeles,,Image editor paste clipboard menu option
ImageEditor_SelectAll,Select All,Seleccionar todo,,Image editor select all menu option
ImageEditor_DeleteFrames,Delete Selected Frames,Eliminar fotogramas seleccionados,,Image editor menu option -Delete selected frames
ImageEditor_DeleteGroup,Delete group,Eliminar grupo,,Image editor layer context menu - delete group/folder
ImageEditor_DeleteLayer,Delete layer(s),Eliminar capa(s),,Image editor layer context menu - delete layer or layers
ImageEditor_DuplicateLayer,Duplicate layer(s),Duplicar capa(s),,Image editor layer panel - duplicate layer menu option
ImageEditor_EditLayerProperties,Edit layer properties,Editar propiedades de capa,,Image editor layer context menu- edit layer properties
ImageEditor_EffectApply,Apply,Aplicar,,effect apply button
ImageEditor_EffectApplyToLabel,Apply To:,Aplicar a:,,effect apply to heading
ImageEditor_EffectCancel,Cancel,Cancelar,,effect cancel button
ImageEditor_Effects,Effects,Efectos,,Image editor menu heading -Effects
ImageEditor_EffectAllFrames,Apply to All Frames,Aplicar a todos los fotogramas,,apply to all frames label
ImageEditor_Flip,Flip,Invertir,,Image editor menu option -Flip
ImageEditor_GridColour,Colour,Color,,Image editor grid colour label
ImageEditor_GridSettings,Grid Settings,Configuración de cuadrícula,,Image editor grid settings label
ImageEditor_GridX,X Spacing,Espaciado X,,Image editor grid x spacing label
ImageEditor_GridY,Y Spacing,Espaciado Y,,Image editor grid y spacing label
ImageEditor_HeightLabel,Height:,Alturat:,,image editor resize height label
ImageEditor_ImportCrop,Crop / pad,Crop / pad,,Image editor import dialog crop option
ImageEditor_ImportImageTitle,Import image(s),Importar imagen(es),,Image editor import images title
ImageEditor_PasteImageResizeTitle,Resize Canvas,Redimensionar lienzo,,canvas resize dialog on paste
ImageEditor_ImportResizeLabel,Imported image is a different size from the canvas,El tamaño de las imagenes importadas son differente al lienzo,,Image editor import dialog resize required description
ImageEditor_PasteResizeLabel,Pasted image is larger than the canvas,Las imagenes pegadas son más grande que el lienzo,,Image editor import dialog paste resize label 
ImageEditor_Import_ResizeImported,Resize imported image to canvas size,Redimensionar las imagenes importada al tamaño del lienzo,,Image editor import resize imported image 
ImageEditor_Import_ResizeCanvas,Resize canvas to imported image size ({0} x {1}),Redimensionar el lienzo al tamaño de las imagenes importadas ({0} x {1}),,Image editor import resize canvas
ImageEditor_Paste_ResizeCanvas,Resize canvas to pasted image size ({0} x {1})?,Redimensionar el lienzo al tamaño de las imagenes pegadas ({0} x {1})?,,Image editor import resize canvas pasted image
ImageEditor_ImportCrop_Canvas,Crop/pad canvas,Crop/pad canvas,,image editor import - crop canvas 
ImageEditor_ImportScale_Canvas,Scale canvas,Escalar lienzo,,image editor import - scale canvas
ImageEditor_ImportCrop_Import,Crop/pad imported image,Crop/pad imported image,,image editor import- crop imported image
ImageEditor_ImportScale_Import,Scale imported image,Escalar imagen importada,,image editor import- scale imported image
ImageEditor_InsertFrame,Insert Frame,Insertar fotograma,,Image editor menu option -Insert frame
ImageEditor_IntensityLabel,Intensity:,Intensificar:,,effect intensity
ImageEditor_InterpLabel,Interpolation:,Interpolación:,,Image editor interpolation label
ImageEditor_InvertSelection,Invert Selection,Invertir selección,,Image editor menu option -Invert selection
ImageEditor_KeepAspectRatio,Keep aspect ratio,Mantener relación de aspecto,,image editor keep aspect ratio label
ImageEditor_LayerBlendMode,Blend Mode:,Modo de mezcla:,,Image layer properties - blend mode
ImageEditor_LayerName,Name:,Nombre:,,Layer Name label in Layer Preferences
ImageEditor_LayerOpacity,Opacity:,Opacidad:,,Image layer properties - opacity
ImageEditor_LayerPanelTitle,Layers,Capas,,layers panel title
ImageEditor_LayerProperties,Layer Properties,Propiedades de capa,,Image layer properties title
ImageEditor_Loop_Tooltip,Toggle loop/ping-pong,Alternar loop/ping-pong,,Image editor loop/ping pong button tooltip
ImageEditor_Menu_Save,Save,Guardar,,Image editor menu option -Save
ImageEditor_MergeAllLayers,Merge all layers,Unir todas las capas,,Image editor layer context menu - merge all layers
ImageEditor_MergeGroup,Merge group,Unir grupo,,Image editor layer context menu - merge group
ImageEditor_MergeLayerDown,Merge layer down,Unir capa abajo,,Image editor layer context menu - merge layer down
ImageEditor_MergeSelectedLayers,Merge Selected Layers,Unir capas seleccionadas,,Image editor layer context menu - merge selected layers
ImageEditor_Mirror,Mirror,Reflejar,,Image editor menu option -Mirror
ImageEditor_NxN_Pixels,{0} x {1} pixels,{0} x {1} píxeles,,image editor pixel dimensions
ImageEditor_OnionSkin_Tooltip,Toggle onion skinning,Activar papel de cebolla,,Image editor onion skin button tooltip
ImageEditor_OnionSkinFramesBack,Frames back,Fotogramas atrás,,Image editor onion skin settings label
ImageEditor_OnionSkinFramesFwd,Frames forwards,Fotogramas hacia delante,,Image editor onion skin settings label
ImageEditor_OnionSkinSettings,Onion Skin Settings,Configuración del papel de cebolla,,Image editor onion skin settings title
ImageEditor_OnionSkinTint,Colour,Color,,Image editor onion skin settings label
ImageEditor_Paste,Paste,Pegar,,Image editor menu option -Paste
ImageEditor_PlaybackSpeed,Speed:,Velocidad:,,Image editor playback speed label
ImageEditor_PlayButton_Tooltip,Play/Pause animation,Reproducir/Pausar animación,,Image editor play button tooltip
ImageEditor_Position,Position,Posición,,image editor position label
ImageEditor_Preview,Preview,Vista previa,,effect preview
ImageEditor_Redo,Redo,Rehacer,,Image editor menu option -Redo
ImageEditor_ResizeCanvas,Resize All Frames,Resize All Frames,,image editor resize canvas menu entry
ImageEditor_Rotate,Rotate,Rotar,,Image editor menu option -Rotate
ImageEditor_Scale,Scale,Scalar,,Image editor menu option -Scale
ImageEditor_ScaleImage,Scale All Frames,Scalar todos los fotogramas,,Image editor scale image title
ImageEditor_SelectedLayer,Selected Layer,Capa seleccionada,,effect selected layer option
ImageEditor_SnapToGrid,Snap to grid,Ajustar a rejilla,,Image editor snap to grid
ImageEditor_TextTool_AA,Anti-alias,Anti-alias,,Image editor text tool anti-alias
ImageEditor_TextTool_SettingsWindow,Font Adjustment,Ajuste de fuente,,Image editor text tool settings window caption
ImageEditor_Title,Image Editor: {0},Image Editor: {0},,Image editor:(resource) title
ImageEditor_ToggleGrid,Toggle Grid,Alternar cuadrícula,,Image editor toggle grid menu entry
ImageEditor_ToleranceLabel,Tolerance:,Tolerancia:,,Image editor magic wand tolerance label
ImageEditor_RotationLabel,Rotation:,Rotación:,,Image editor rotation label
ImageEditor_RotationInterpolateLabel,Interpolate,Interpolar,,Image editor rotation interpolate label
ImageEditor_Tool_Arc,Arc tool,Herramienta de arco,,ImageEditor Arc tool 
ImageEditor_Tool_Brush,Paintbrush tool,Herramienta de pincel,,ImageEditor paint brush tool
ImageEditor_Tool_ColourPicker,Colour Picker,Herramienta de selector de color,,ImageEditor Colour Picker 
ImageEditor_Tool_Ellipse,Ellipse tool,Herramienta de elipse,,ImageEditor Ellipse tool 
ImageEditor_Tool_EllipseOutline,Ellipse tool - outline,Herramienta de elipse - contorno,,ImageEditor Ellipse tool(outline)
ImageEditor_Tool_EllipseFilled,Ellipse tool - filled,Herramienta de elipse - lleno,,ImageEditor Ellipse tool(filled) 
ImageEditor_Tool_EllipseSelect,Ellipse select tool,Herramienta de marco elíptico,,ImageEditor Ellipse select tool
ImageEditor_Tool_PaintSelect,Paint selection tool,Herramienta de pincel de selección,,ImageEditor paint selection tool
ImageEditor_Tool_Erase,Erase tool,Herramienta de borrador,,ImageEditor Erase tool
ImageEditor_Tool_Fill,Fill tool,Herramienta de relleno,,ImageEditor Fill tool
ImageEditor_Tool_ColourReplace,Colour replace tool,Herramienta de reemplazo de color,,ImageEditor Colour replace tool
ImageEditor_Tool_ColourRemover,Colour remove tool,Herramienta de eliminazión de color,,ImageEditor Colour remove tool
ImageEditor_Tool_Flip,Flip brush tool,Flip brush tool,,ImageEditor Flip tool
ImageEditor_Tool_Line,Line tool,Herramienta de línea,,ImageEditor Line tool
ImageEditor_Tool_MagicWand,Magic wand tool,Magic wand tool,,ImageEditor Magic wand tool
ImageEditor_Tool_Mirror,Mirror brush tool,Mirror brush tool,,ImageEditor Mirror tool
ImageEditor_Tool_Pan,Pan image tool,Pan image tool,,ImageEditor Pan tool
ImageEditor_Tool_Polygon,Polygon tool,Polygon tool,,ImageEditor Polygon tool
ImageEditor_Tool_PolygonOutline,Polygon tool - outline,Polygon tool - outline,,ImageEditor Polygon tool(outline)
ImageEditor_Tool_PolygonFilled,Polygon tool - filled,Polygon tool - filled,,ImageEditor Polygon tool(filled)
ImageEditor_Tool_Rectangle,Rectangle tool,Herramienta de rectángulo,,ImageEditor Rectangle tool
ImageEditor_Tool_RectangleOutline,Rectangle tool - outline,Herramienta de rectángulo - contorno,,ImageEditor Rectangle tool(outline)
ImageEditor_Tool_RectangleFilled,Rectangle tool - filled,Herramienta de rectángulo - relleno,,ImageEditor Rectangle tool(filled)
ImageEditor_Tool_RectangleSelect,Rectangle select tool,Herramienta de marco rentangular,,ImageEditor Rectangle select tool
ImageEditor_Tool_Rotate,Rotate brush tool,Herramienta de pincel de rotación,,ImageEditor Rotate tool
ImageEditor_Tool_FreeRotate,Free rotate brush tool,Herramienta de pincel de rotación libre,,ImageEditor Free Rotate tool
ImageEditor_Tool_SplitMagnify,Split Magnify,Split Magnify,,Image editor split magnify tool name
ImageEditor_Tool_Text,Text tool,Herramienta de texto,,Image editor text tool
ImageEditor_ToolboxPanelTitle,Toolbox,Herramientas,,toolbox panel title
ImageEditor_Transform,Animation,Animación,,Image editor menu - animation transform heading
ImageEditor_Menu_Flip,Flip,Voltear,,Image editor menu flip
ImageEditor_Menu_Mirror,Mirror,Reflejar,,Image editor menu mirror
ImageEditor_Menu_AllFrames,All Frames,Todos los fotogramas,,Image editor menu flip animation
ImageEditor_Menu_CurrentFrame,Selected Frames,Fotogramas seleccionados,,Image editor menu flip current frame
ImageEditor_Menu_RotateImageCW,Rotate All Frames(clockwise 90),Rotar todos los fotogramas (dextorso 90),,Image editor rotate clockwise menu entry
ImageEditor_Menu_RotateImageACW,Rotate All Frames(anti-clockwise 90),Rotate All Frames(sinistroso 90),,Image editor rotate anti-clockwise menu entry
ImageEditor_Undo,Undo,Deshacer,,Image editor menu option -Undo
ImageEditor_VisibleLayers,Visible Layers,Capas visibles,,effect visible layers option
ImageEditor_WidthLabel,Width:,Ancho:,,image editor resize width label
ImageEditor_ArcTool_Info,"Click to add a point, drag to move (Ctrl - move control point; Shift - snap; Enter - commit)","Click to add a point, drag to move (Ctrl - move control point; Shift - snap; Enter - commit)",,image editor tool info
ImageEditor_ColourPicker_Info,Left/right click to pick a colour,Clic izquierdo/derecho para selecionar un color,,image editor tool info
ImageEditor_EllipseTool_Info,Click and drag to draw an ellipse (Shift for a circle),Click and drag to draw an ellipse (Shift for a circle),,image editor tool info
ImageEditor_PaintSelectTool_Info,"Paint selection (Ctrl to add, Alt/right click to subtract)","Paint selection (Ctrl to add, Alt/right click to subtract)",,image editor tool info
ImageEditor_EraseTool_Info,Click to erase,Haga clic para borrar,,image editor tool info
ImageEditor_FillTool_Info,Click to fill (Alt to tile with brush),Click to fill (Alt to tile with brush),,image editor tool info
ImageEditor_ColourReplaceTool_Info,Click to swap colours (Alt to replace alpha also),Click to swap colours (Alt to replace alpha also),,image editor tool info
ImageEditor_ColourRemoveTool_Info,Click to remove a colour,Click to remove a colour,,image editor tool info
ImageEditor_LineTool_Info,Click and drag to draw a line (Shift for a straight line),Click and drag to draw a line (Shift for a straight line),,image editor tool info
ImageEditor_MagicWand_Info,"Click to replace selection (Ctrl to add to selection, Shift to subtract from selection)","Click to replace selection (Ctrl to add to selection, Alt to subtract from selection)",,image editor tool info
ImageEditor_Paintbrush_Info,"Click to paint (Shift for a straight line, Ctrl to pick a colour)","Click to paint (Shift for a straight line, Ctrl to pick a colour)",,image editor tool info
ImageEditor_PanTool_Info,Click and drag to pan,Click and drag to pan,,image editor tool info
ImageEditor_PolyTool_Info,Click to add points (Enter to commit),Click to add points (Enter to commit),,image editor tool info
ImageEditor_RectangleTool_Info,Click and drag to draw a rectangle (Shift for a square),Click and drag to draw a rectangle (Shift for a square),,image editor tool info
